Season;Team;No.;Player;Pos;Ht;Wt;Birth Date;Country;Exp;College
1971-72;Detroit Pistons;16;Bob Lanier;C;6-11;250;September 10, 1948;us;1;St. Bonaventure
1971-72;Detroit Pistons;26;Harvey Marlatt;SG;6-3;185;August 26, 1948;;1;Eastern Michigan
1971-72;Detroit Pistons;23;Steve Mix;SF;6-7;215;December 30, 1947;us;2;Toledo
1971-72;Detroit Pistons;51;Erwin Mueller;PF;6-8;230;March 12, 1944;us;5;San Francisco
1971-72;Detroit Pistons;8;Willie Norwood;SF;6-7;220;August 8, 1947;us;R;Alcorn State
1971-72;Detroit Pistons;14;Bob Quick;SF;6-5;215;March 5, 1946;us;3;Xavier
1971-72;Detroit Pistons;18;Curtis Rowe;PF;6-7;225;July 2, 1949;us;R;UCLA
1971-72;Detroit Pistons;24;Jimmy Walker;SG;6-3;195;April 8, 1944;us;4;Providence
1971-72;Detroit Pistons;10;Isaiah Wilson;SG;6-2;175;May 31, 1948;us;R;University of Baltimore
1972-73;Detroit Pistons;10;Don Adams;SF;6-6;210;November 27, 1947;us;2;Northwestern
1972-73;Detroit Pistons;21;Dave Bing;PG;6-3;180;November 24, 1943;us;6;Syracuse
1972-73;Detroit Pistons;20;Jim Davis;C;6-9;225;December 18, 1941;us;5;Colorado
1972-73;Detroit Pistons;42;Chris Ford;SG;6-5;190;January 11, 1949;us;R;Villanova
1972-73;Detroit Pistons;25;Fred Foster;SF;6-5;210;March 18, 1946;us;4;Miami University
1972-73;Detroit Pistons;16;Bob Lanier;C;6-11;250;September 10, 1948;us;2;St. Bonaventure
1972-73;Detroit Pistons;22;Stu Lantz;SG;6-3;175;July 13, 1946;us;4;Nebraska
1972-73;Detroit Pistons;26;Harvey Marlatt;SG;6-3;185;August 26, 1948;;2;Eastern Michigan
1972-73;Detroit Pistons;15;John Mengelt;SG;6-2;195;October 16, 1949;us;1;Auburn
1972-73;Detroit Pistons;51;Erwin Mueller;PF;6-8;230;March 12, 1944;us;6;San Francisco
1972-73;Detroit Pistons;33;Bob Nash;SF;6-8;195;August 24, 1950;us;R;San Jacinto College, Hawaii
1972-73;Detroit Pistons;8;Willie Norwood;SF;6-7;220;August 8, 1947;us;1;Alcorn State
1972-73;Detroit Pistons;18;Curtis Rowe;PF;6-7;225;July 2, 1949;us;1;UCLA
1972-73;Detroit Pistons;31;Justus Thigpen;SG;6-1;160;August 13, 1947;;1;Mott Community College, Weber State
1973-74;Detroit Pistons;10;Don Adams;SF;6-6;210;November 27, 1947;us;3;Northwestern
1973-74;Detroit Pistons;21;Dave Bing;PG;6-3;180;November 24, 1943;us;7;Syracuse
1973-74;Detroit Pistons;20;Jim Davis;C;6-9;225;December 18, 1941;us;6;Colorado
1973-74;Detroit Pistons;42;Chris Ford;SG;6-5;190;January 11, 1949;us;1;Villanova
1973-74;Detroit Pistons;5, 30;Ben Kelso;SG;6-3;195;April 11, 1949;;R;Central Michigan University
1973-74;Detroit Pistons;16;Bob Lanier;C;6-11;250;September 10, 1948;us;3;St. Bonaventure
1973-74;Detroit Pistons;22;Stu Lantz;SG;6-3;175;July 13, 1946;us;5;Nebraska
1973-74;Detroit Pistons;15;John Mengelt;SG;6-2;195;October 16, 1949;us;2;Auburn
1973-74;Detroit Pistons;33;Bob Nash;SF;6-8;195;August 24, 1950;us;1;San Jacinto College, Hawaii
1973-74;Detroit Pistons;8;Willie Norwood;SF;6-7;220;August 8, 1947;us;2;Alcorn State
1973-74;Detroit Pistons;18;Curtis Rowe;PF;6-7;225;July 2, 1949;us;2;UCLA
1973-74;Detroit Pistons;31;George Trapp;PF;6-8;205;July 11, 1948;us;2;Cal State Long Beach
1974-75;Detroit Pistons;10;Don Adams;SF;6-6;210;November 27, 1947;us;4;Northwestern
1974-75;Detroit Pistons;21;Dave Bing;PG;6-3;180;November 24, 1943;us;8;Syracuse
1974-75;Detroit Pistons;20;Jim Davis;C;6-9;225;December 18, 1941;us;7;Colorado
1974-75;Detroit Pistons;44;Al Eberhard;SF;6-6;225;May 10, 1952;us;R;Missouri
1974-75;Detroit Pistons;42;Chris Ford;SG;6-5;190;January 11, 1949;us;2;Villanova
1974-75;Detroit Pistons;16;Bob Lanier;C;6-11;250;September 10, 1948;us;4;St. Bonaventure
1974-75;Detroit Pistons;26;Bill Ligon;SG;6-4;180;May 29, 1952;us;R;Vanderbilt
1974-75;Detroit Pistons;15;John Mengelt;SG;6-2;195;October 16, 1949;us;3;Auburn
1974-75;Detroit Pistons;14;Eric Money;SG;6-0;170;February 6, 1955;us;R;Arizona
1974-75;Detroit Pistons;43;Otto Moore;C;6-11;205;August 27, 1946;us;6;University of Texas Rio Grande Valley
1974-75;Detroit Pistons;8;Willie Norwood;SF;6-7;220;August 8, 1947;us;3;Alcorn State
1974-75;Detroit Pistons;54;Howard Porter;SF;6-8;220;August 31, 1948;us;3;Villanova
1974-75;Detroit Pistons;18;Curtis Rowe;PF;6-7;225;July 2, 1949;us;3;UCLA
1974-75;Detroit Pistons;31;George Trapp;PF;6-8;205;July 11, 1948;us;3;Cal State Long Beach
1975-76;Detroit Pistons;20;Roger Brown;C;6-11;225;February 23, 1950;us;2;Kansas
1975-76;Detroit Pistons;11;Archie Clark;SG;6-2;175;July 15, 1941;us;9;Minnesota
1975-76;Detroit Pistons;22;Henry Dickerson;SG;6-4;190;November 27, 1951;us;R;University of Charleston
1975-76;Detroit Pistons;44;Al Eberhard;SF;6-6;225;May 10, 1952;us;1;Missouri
1975-76;Detroit Pistons;42;Chris Ford;SG;6-5;190;January 11, 1949;us;3;Villanova
1975-76;Detroit Pistons;45;Lindsay Hairston;SF;6-7;180;December 8, 1951;us;R;Michigan State
1975-76;Detroit Pistons;9;Wali Jones;PG;6-2;180;February 14, 1942;us;10;Villanova
1975-76;Detroit Pistons;16;Bob Lanier;C;6-11;250;September 10, 1948;us;5;St. Bonaventure
1975-76;Detroit Pistons;15;John Mengelt;SG;6-2;195;October 16, 1949;us;4;Auburn
1975-76;Detroit Pistons;14;Eric Money;PG;6-0;170;February 6, 1955;us;1;Arizona
1975-76;Detroit Pistons;54;Howard Porter;SF;6-8;220;August 31, 1948;us;4;Villanova
1975-76;Detroit Pistons;10;Kevin Porter;PG;6-0;170;April 17, 1950;us;3;Saint Francis University
1975-76;Detroit Pistons;18;Curtis Rowe;PF;6-7;225;July 2, 1949;us;4;UCLA
1975-76;Detroit Pistons;50;Terry Thomas;PF;6-8;220;August 20, 1953;us;R;Detroit Mercy
1975-76;Detroit Pistons;31;George Trapp;PF;6-8;205;July 11, 1948;us;4;Cal State Long Beach
1975-76;Detroit Pistons;55;Earl Williams;C;6-7;230;March 24, 1951;us;1;Winston-Salem State
1976-77;Detroit Pistons;24;Marvin Barnes;PF;6-8;210;July 27, 1952;us;2;Providence
1976-77;Detroit Pistons;20;Roger Brown;C;6-11;225;February 23, 1950;us;3;Kansas
1976-77;Detroit Pistons;30;M.L. Carr;SF;6-6;205;January 9, 1951;us;1;Guilford College
1976-77;Detroit Pistons;45;Cornelius Cash;PF;6-8;215;March 3, 1952;us;R;Bowling Green
1976-77;Detroit Pistons;13;Leon Douglas;C;6-10;230;August 26, 1954;us;R;Alabama
1976-77;Detroit Pistons;44;Al Eberhard;SF;6-6;225;May 10, 1952;us;2;Missouri
1976-77;Detroit Pistons;42;Chris Ford;SG;6-5;190;January 11, 1949;us;4;Villanova
1976-77;Detroit Pistons;16;Bob Lanier;C;6-11;250;September 10, 1948;us;6;St. Bonaventure
1976-77;Detroit Pistons;14;Eric Money;PG;6-0;170;February 6, 1955;us;2;Arizona
1976-77;Detroit Pistons;54;Howard Porter;PF;6-8;220;August 31, 1948;us;5;Villanova
1976-77;Detroit Pistons;1;Kevin Porter;PG;6-0;170;April 17, 1950;us;4;Saint Francis University
1976-77;Detroit Pistons;11;Phil Sellers;SG;6-4;195;November 20, 1953;us;R;Rutgers University
1976-77;Detroit Pistons;10, 32;Ralph Simpson;SG;6-5;200;August 10, 1949;us;6;Michigan State
1976-77;Detroit Pistons;31;George Trapp;PF;6-8;205;July 11, 1948;us;5;Cal State Long Beach
1977-78;Detroit Pistons;24;Marvin Barnes;PF;6-8;210;July 27, 1952;us;3;Providence
1977-78;Detroit Pistons;32;Jim Bostic;PF;6-7;225;January 28, 1953;us;R;New Mexico State
1977-78;Detroit Pistons;12;Wayman Britt;SG;6-2;185;August 31, 1952;us;R;Michigan
1977-78;Detroit Pistons;30;M.L. Carr;SF;6-6;205;January 9, 1951;us;2;Guilford College
1977-78;Detroit Pistons;13;Leon Douglas;C;6-10;230;August 26, 1954;us;1;Alabama
1977-78;Detroit Pistons;44;Al Eberhard;SF;6-6;225;May 10, 1952;us;3;Missouri
1977-78;Detroit Pistons;42;Chris Ford;SG;6-5;190;January 11, 1949;us;5;Villanova
1977-78;Detroit Pistons;22;Gus Gerard;SF;6-8;200;July 27, 1953;us;3;Virginia
1977-78;Detroit Pistons;16;Bob Lanier;C;6-11;250;September 10, 1948;us;7;St. Bonaventure
1977-78;Detroit Pistons;14;Eric Money;PG;6-0;170;February 6, 1955;us;3;Arizona
1977-78;Detroit Pistons;8;Willie Norwood;SF;6-7;220;August 8, 1947;us;6;Alcorn State
1977-78;Detroit Pistons;50;Ben Poquette;PF;6-9;235;May 7, 1955;us;R;Central Michigan University
1977-78;Detroit Pistons;54;Howard Porter;SF;6-8;220;August 31, 1948;us;6;Villanova
1977-78;Detroit Pistons;1;Kevin Porter;PG;6-0;170;April 17, 1950;us;5;Saint Francis University
1977-78;Detroit Pistons;15;Jim Price;PG;6-3;195;November 27, 1949;us;5;Louisville
1977-78;Detroit Pistons;34;John Shumate;PF;6-9;235;April 6, 1952;us;2;Notre Dame
1977-78;Detroit Pistons;32;Ralph Simpson;SG;6-5;200;August 10, 1949;us;7;Michigan State
1977-78;Detroit Pistons;35;Al Skinner;SG;6-3;190;June 16, 1952;us;3;UMass
1978-79;Detroit Pistons;27;Ron Behagen;PF;6-9;185;January 14, 1951;us;5;Minnesota
1978-79;Detroit Pistons;11;Dennis Boyd;PG;6-1;175;May 21, 1954;us;R;Detroit Mercy
1978-79;Detroit Pistons;42;Jim Brewer;PF;6-9;210;December 3, 1951;us;5;Minnesota
1978-79;Detroit Pistons;30;M.L. Carr;SF;6-6;205;January 9, 1951;us;3;Guilford College
1978-79;Detroit Pistons;13;Leon Douglas;C;6-10;230;August 26, 1954;us;2;Alabama
1978-79;Detroit Pistons;42;Chris Ford;SG;6-5;190;January 11, 1949;us;6;Villanova
1978-79;Detroit Pistons;22;Gus Gerard;SF;6-8;200;July 27, 1953;us;4;Virginia
1978-79;Detroit Pistons;24;Rickey Green;PG;6-0;170;August 18, 1954;us;1;Vincennes University, Michigan
1978-79;Detroit Pistons;11;Bubbles Hawkins;SG;6-4;190;June 30, 1954;us;3;Illinois State
1978-79;Detroit Pistons;22, 24;Essie Hollis;SF;6-6;195;May 16, 1955;us;R;St. Bonaventure
1978-79;Detroit Pistons;32;Otis Howard;PF;6-7;220;November 5, 1956;us;R;Austin Peay State University
1978-79;Detroit Pistons;16;Bob Lanier;C;6-11;250;September 10, 1948;us;8;St. Bonaventure
1978-79;Detroit Pistons;25;John Long;SG;6-5;195;August 28, 1956;us;R;Detroit Mercy
1978-79;Detroit Pistons;32;Larry McNeill;PF;6-9;195;January 31, 1951;us;5;Marquette
1978-79;Detroit Pistons;50;Ben Poquette;PF;6-9;235;May 7, 1955;us;1;Central Michigan University
1978-79;Detroit Pistons;1;Kevin Porter;PG;6-0;170;April 17, 1950;us;6;Saint Francis University
1978-79;Detroit Pistons;27;Steve Sheppard;SF;6-6;215;March 21, 1954;us;1;Maryland
1978-79;Detroit Pistons;35;Earl Tatum;SG;6-5;185;July 26, 1953;us;2;Marquette
1978-79;Detroit Pistons;41;Terry Tyler;PF;6-7;215;October 30, 1956;us;R;Detroit Mercy
1978-79;Detroit Pistons;26;Andre Wakefield;SG;6-3;175;January 11, 1955;us;R;Loyola Chicago
1979-80;Detroit Pistons;54;Kent Benson;C;6-10;235;December 27, 1954;us;2;Indiana
1979-80;Detroit Pistons;13;Leon Douglas;C;6-10;230;August 26, 1954;us;3;Alabama
1979-80;Detroit Pistons;42;Terry Duerod;SG;6-2;180;July 29, 1956;us;R;Detroit Mercy
1979-80;Detroit Pistons;21;Earl Evans;PF;6-8;202;November 11, 1955;us;R;USC, UNLV
1979-80;Detroit Pistons;24;Roy Hamilton;PG;6-2;180;July 20, 1957;us;R;UCLA
1979-80;Detroit Pistons;35;Phil Hubbard;PF;6-8;215;December 13, 1956;us;R;Michigan
1979-80;Detroit Pistons;32;Greg Kelser;SF;6-7;190;September 17, 1957;us;R;Michigan State
1979-80;Detroit Pistons;16;Bob Lanier;C;6-11;250;September 10, 1948;us;9;St. Bonaventure
1979-80;Detroit Pistons;30;Ron Lee;PG;6-4;193;November 2, 1952;us;3;Oregon
1979-80;Detroit Pistons;25;John Long;SG;6-5;195;August 28, 1956;us;1;Detroit Mercy
1979-80;Detroit Pistons;44;Steve Malovic;PF;6-10;230;July 21, 1956;us;R;USC, San Diego State
1979-80;Detroit Pistons;11;Bob McAdoo;PF;6-9;210;September 25, 1951;us;7;Vincennes University, UNC
1979-80;Detroit Pistons;33;Jim McElroy;PG;6-3;190;October 4, 1953;us;4;Central Michigan University
1979-80;Detroit Pistons;14;Eric Money;SG;6-0;170;February 6, 1955;us;5;Arizona
1979-80;Detroit Pistons;9, 30;Jackie Robinson;SF;6-6;210;May 20, 1955;us;1;UNLV
1979-80;Detroit Pistons;34;John Shumate;PF;6-9;235;April 6, 1952;us;3;Notre Dame
1979-80;Detroit Pistons;41;Terry Tyler;SF;6-7;215;October 30, 1956;us;1;Detroit Mercy
1980-81;Detroit Pistons;54;Kent Benson;C;6-10;235;December 27, 1954;us;3;Indiana
1980-81;Detroit Pistons;50;Norman Black;SG;6-5;185;November 12, 1957;us;R;Saint Joseph's
1980-81;Detroit Pistons;22;Larry Drew;PG;6-1;170;April 2, 1958;us;R;Missouri
1980-81;Detroit Pistons;43;Tony Fuller;SG;6-4;180;September 4, 1958;us;R;Vincennes University, Pepperdine
1980-81;Detroit Pistons;33;Keith Herron;SG;6-6;195;June 14, 1956;us;1;Villanova
1980-81;Detroit Pistons;35;Phil Hubbard;PF;6-8;215;December 13, 1956;us;1;Michigan
1980-81;Detroit Pistons;50;Lee Johnson;PF;6-11;205;June 16, 1957;us;R;Montana, Texas A&M University-Commerce
1980-81;Detroit Pistons;32;Greg Kelser;SF;6-7;190;September 17, 1957;us;1;Michigan State
1980-81;Detroit Pistons;50;Edmund Lawrence;C;7-0;228;December 8, 1952;us;R;McNeese State University
1980-81;Detroit Pistons;30;Ron Lee;PG;6-4;193;November 2, 1952;us;4;Oregon
1980-81;Detroit Pistons;25;John Long;SG;6-5;195;August 28, 1956;us;2;Detroit Mercy
1980-81;Detroit Pistons;11;Bob McAdoo;PF;6-9;210;September 25, 1951;us;8;Vincennes University, UNC
1980-81;Detroit Pistons;44, 53;Paul Mokeski;C;7-0;250;January 3, 1957;us;1;Kansas
1980-81;Detroit Pistons;42;Wayne Robinson;PF;6-8;217;April 19, 1958;us;R;Virginia Tech
1980-81;Detroit Pistons;41;Terry Tyler;SF;6-7;215;October 30, 1956;us;2;Detroit Mercy
1980-81;Detroit Pistons;15;Larry Wright;PG;6-1;160;November 23, 1954;us;4;Grambling State University
1981-82;Detroit Pistons;54;Kent Benson;C;6-10;235;December 27, 1954;us;4;Indiana
1981-82;Detroit Pistons;32;Kenny Carr;PF;6-7;220;August 15, 1955;us;4;NC State
1981-82;Detroit Pistons;10;Glenn Hagan;PG;6-0;170;June 25, 1955;us;R;St. Bonaventure
1981-82;Detroit Pistons;24;Alan Hardy;SG;6-7;195;May 25, 1957;us;1;Michigan
1981-82;Detroit Pistons;52;Steve Hayes;C;7-0;205;August 2, 1955;us;R;Idaho State University
1981-82;Detroit Pistons;35;Phil Hubbard;SF;6-8;215;December 13, 1956;us;2;Michigan
1981-82;Detroit Pistons;15;Vinnie Johnson;SG;6-2;200;September 1, 1956;us;2;Baylor
1981-82;Detroit Pistons;42;Edgar Jones;PF;6-10;225;June 17, 1956;us;1;Nevada
1981-82;Detroit Pistons;22;Jeff Judkins;SF;6-6;185;March 23, 1956;us;3;Utah
1981-82;Detroit Pistons;32;Greg Kelser;SF;6-7;190;September 17, 1957;us;2;Michigan State
1981-82;Detroit Pistons;40;Bill Laimbeer;C;6-11;245;May 19, 1957;us;1;Notre Dame
1981-82;Detroit Pistons;30;Ron Lee;PG;6-4;193;November 2, 1952;us;5;Oregon
1981-82;Detroit Pistons;25;John Long;SG;6-5;195;August 28, 1956;us;3;Detroit Mercy
1981-82;Detroit Pistons;44;Paul Mokeski;C;7-0;250;January 3, 1957;us;2;Kansas
1981-82;Detroit Pistons;11;Isiah Thomas;PG;6-1;180;April 30, 1961;us;R;Indiana
1981-82;Detroit Pistons;7;Kelly Tripucka;SF;6-6;220;February 16, 1959;us;R;Notre Dame
1981-82;Detroit Pistons;41;Terry Tyler;PF;6-7;215;October 30, 1956;us;3;Detroit Mercy
1981-82;Detroit Pistons;15;Larry Wright;PG;6-1;160;November 23, 1954;us;5;Grambling State University
1982-83;Detroit Pistons;54;Kent Benson;C;6-10;235;December 27, 1954;us;5;Indiana
1982-83;Detroit Pistons;15;Vinnie Johnson;SG;6-2;200;September 1, 1956;us;3;Baylor
1982-83;Detroit Pistons;34;Jim Johnstone;PF;6-11;245;September 20, 1960;us;R;Wake Forest
1982-83;Detroit Pistons;42;Edgar Jones;PF;6-10;225;June 17, 1956;us;2;Nevada
1982-83;Detroit Pistons;40;Bill Laimbeer;C;6-11;245;May 19, 1957;us;2;Notre Dame
1982-83;Detroit Pistons;53;Cliff Levingston;PF;6-8;210;January 4, 1961;us;R;Wichita State
1982-83;Detroit Pistons;25;John Long;SG;6-5;195;August 28, 1956;us;4;Detroit Mercy
1982-83;Detroit Pistons;24;Scott May;SF;6-7;215;March 19, 1954;us;6;Indiana
1982-83;Detroit Pistons;44;Tom Owens;C;6-10;215;June 28, 1949;us;11;South Carolina
1982-83;Detroit Pistons;22;Ricky Pierce;SG;6-4;205;August 19, 1959;us;R;Rice University
1982-83;Detroit Pistons;33;Walker Russell;PG;6-5;195;October 26, 1960;us;R;Houston, Western Michigan
1982-83;Detroit Pistons;32;Jim Smith;PF;6-9;225;April 12, 1958;us;1;Ohio State
1982-83;Detroit Pistons;11;Isiah Thomas;PG;6-1;180;April 30, 1961;us;1;Indiana
1982-83;Detroit Pistons;24;Ray Tolbert;PF;6-9;225;September 10, 1958;us;1;Indiana
1982-83;Detroit Pistons;7;Kelly Tripucka;SF;6-6;220;February 16, 1959;us;1;Notre Dame
1982-83;Detroit Pistons;41;Terry Tyler;SF;6-7;215;October 30, 1956;us;4;Detroit Mercy
1982-83;Detroit Pistons;34;James Wilkes;SF;6-7;195;April 1, 1958;us;2;UCLA
1982-83;Detroit Pistons;34;Jim Zoet;C;7-1;240;December 20, 1953;ca;R;Kent State University
1983-84;Detroit Pistons;34;Ken Austin;SF;6-9;205;July 15, 1961;us;R;Rice University
1983-84;Detroit Pistons;54;Kent Benson;C;6-10;235;December 27, 1954;us;6;Indiana
1983-84;Detroit Pistons;23;Earl Cureton;C;6-9;210;September 3, 1957;us;3;Robert Morris University (PA), Detroit Mercy
1983-84;Detroit Pistons;9;Lionel Hollins;PG;6-3;185;October 19, 1953;us;8;Arizona State
1983-84;Detroit Pistons;15;Vinnie Johnson;SG;6-2;200;September 1, 1956;us;4;Baylor
1983-84;Detroit Pistons;40;Bill Laimbeer;C;6-11;245;May 19, 1957;us;3;Notre Dame
1983-84;Detroit Pistons;53;Cliff Levingston;PF;6-8;210;January 4, 1961;us;1;Wichita State
1983-84;Detroit Pistons;25;John Long;SG;6-5;195;August 28, 1956;us;5;Detroit Mercy
1983-84;Detroit Pistons;33;Walker Russell;PG;6-5;195;October 26, 1960;us;1;Houston, Western Michigan
1983-84;Detroit Pistons;22;David Thirdkill;SF;6-7;195;April 12, 1960;us;1;Bradley
1983-84;Detroit Pistons;11;Isiah Thomas;PG;6-1;180;April 30, 1961;us;2;Indiana
1983-84;Detroit Pistons;24;Ray Tolbert;PF;6-9;225;September 10, 1958;us;2;Indiana
1983-84;Detroit Pistons;7;Kelly Tripucka;SF;6-6;220;February 16, 1959;us;2;Notre Dame
1983-84;Detroit Pistons;41;Terry Tyler;SF;6-7;215;October 30, 1956;us;5;Detroit Mercy
1984-85;Detroit Pistons;54;Kent Benson;C;6-10;235;December 27, 1954;us;7;Indiana
1984-85;Detroit Pistons;0;Tony Campbell;SF;6-7;215;May 7, 1962;us;R;Ohio State
1984-85;Detroit Pistons;23;Earl Cureton;C;6-9;210;September 3, 1957;us;4;Robert Morris University (PA), Detroit Mercy
1984-85;Detroit Pistons;15;Vinnie Johnson;SG;6-2;200;September 1, 1956;us;5;Baylor
1984-85;Detroit Pistons;35;Major Jones;PF;6-9;225;July 9, 1953;us;5;Albany State University
1984-85;Detroit Pistons;40;Bill Laimbeer;C;6-11;245;May 19, 1957;us;4;Notre Dame
1984-85;Detroit Pistons;25;John Long;SG;6-5;195;August 28, 1956;us;6;Detroit Mercy
1984-85;Detroit Pistons;34;Sidney Lowe;PG;6-0;195;January 21, 1960;us;1;NC State
1984-85;Detroit Pistons;14;Lorenzo Romar;PG;6-1;175;November 13, 1958;us;4;Washington
1984-85;Detroit Pistons;32;Dan Roundfield;PF;6-8;205;May 26, 1953;us;9;Central Michigan University
1984-85;Detroit Pistons;31;Brook Steppe;SG;6-5;195;November 7, 1959;us;2;Georgia Tech
1984-85;Detroit Pistons;22;Terry Teagle;SG;6-5;195;April 10, 1960;us;2;Baylor
1984-85;Detroit Pistons;22;David Thirdkill;SF;6-7;195;April 12, 1960;us;2;Bradley
1984-85;Detroit Pistons;11;Isiah Thomas;PG;6-1;180;April 30, 1961;us;3;Indiana
1984-85;Detroit Pistons;7;Kelly Tripucka;SF;6-6;220;February 16, 1959;us;3;Notre Dame
1984-85;Detroit Pistons;41;Terry Tyler;SF;6-7;215;October 30, 1956;us;6;Detroit Mercy
1984-85;Detroit Pistons;31;Dale Wilkinson;PF;6-10;220;March 18, 1960;us;R;Idaho State University
1985-86;Detroit Pistons;54;Kent Benson;C;6-10;235;December 27, 1954;us;8;Indiana
1985-86;Detroit Pistons;0;Tony Campbell;SF;6-7;215;May 7, 1962;us;1;Ohio State
1985-86;Detroit Pistons;42;Ron Crevier;C;7-0;235;April 14, 1958;ca;R;Boston College
1985-86;Detroit Pistons;23;Earl Cureton;PF;6-9;210;September 3, 1957;us;5;Robert Morris University (PA), Detroit Mercy
1985-86;Detroit Pistons;4;Joe Dumars;SG;6-3;190;May 24, 1963;us;R;McNeese State University
1985-86;Detroit Pistons;35;Mike Gibson;PF;6-10;205;October 27, 1960;us;1;USC Upstate
1985-86;Detroit Pistons;15;Vinnie Johnson;SG;6-2;200;September 1, 1956;us;6;Baylor
1985-86;Detroit Pistons;40;Bill Laimbeer;C;6-11;245;May 19, 1957;us;5;Notre Dame
1985-86;Detroit Pistons;25;John Long;SG;6-5;195;August 28, 1956;us;7;Detroit Mercy
1985-86;Detroit Pistons;44;Rick Mahorn;PF;6-10;240;September 21, 1958;us;5;Hampton
1985-86;Detroit Pistons;42;Chuck Nevitt;C;7-5;217;June 13, 1959;us;2;NC State
1985-86;Detroit Pistons;33;Walker Russell;PG;6-5;195;October 26, 1960;us;3;Houston, Western Michigan
1985-86;Detroit Pistons;11;Isiah Thomas;PG;6-1;180;April 30, 1961;us;4;Indiana
1985-86;Detroit Pistons;7;Kelly Tripucka;SF;6-6;220;February 16, 1959;us;4;Notre Dame
1986-87;Detroit Pistons;0;Tony Campbell;SF;6-7;215;May 7, 1962;us;2;Ohio State
1986-87;Detroit Pistons;45;Adrian Dantley;SF;6-5;208;February 28, 1955;us;10;Notre Dame
1986-87;Detroit Pistons;4;Joe Dumars;SG;6-3;190;May 24, 1963;us;1;McNeese State University
1986-87;Detroit Pistons;12;Sidney Green;PF;6-9;220;January 4, 1961;us;3;UNLV
1986-87;Detroit Pistons;15;Vinnie Johnson;SG;6-2;200;September 1, 1956;us;7;Baylor
1986-87;Detroit Pistons;40;Bill Laimbeer;C;6-11;245;May 19, 1957;us;6;Notre Dame
1986-87;Detroit Pistons;44;Rick Mahorn;PF;6-10;240;September 21, 1958;us;6;Hampton
1986-87;Detroit Pistons;41;Cozell McQueen;PF;6-11;235;January 18, 1962;fr;R;NC State
1986-87;Detroit Pistons;42;Chuck Nevitt;C;7-5;217;June 13, 1959;us;3;NC State
1986-87;Detroit Pistons;41;Kurt Nimphius;PF;6-10;218;March 13, 1958;us;5;Arizona State
1986-87;Detroit Pistons;10;Dennis Rodman;SF;6-7;210;May 13, 1961;us;R;Southeastern Oklahoma State University
1986-87;Detroit Pistons;22;John Salley;C;6-11;230;May 16, 1964;us;R;Georgia Tech
1986-87;Detroit Pistons;35;John Schweitz;SG;6-6;210;April 19, 1960;us;1;Richmond
1986-87;Detroit Pistons;35;Jeff Taylor;SG;6-4;175;January 1, 1960;us;1;Texas Tech
1986-87;Detroit Pistons;11;Isiah Thomas;PG;6-1;180;April 30, 1961;us;5;Indiana
1987-88;Detroit Pistons;25;William Bedford;C;7-0;225;December 14, 1963;us;1;Memphis
1987-88;Detroit Pistons;45;Adrian Dantley;SF;6-5;208;February 28, 1955;us;11;Notre Dame
1987-88;Detroit Pistons;50;Darryl Dawkins;C;6-11;251;January 11, 1957;us;12;
1987-88;Detroit Pistons;4;Joe Dumars;SG;6-3;190;May 24, 1963;us;2;McNeese State University
1987-88;Detroit Pistons;53;James Edwards;C;7-0;225;November 22, 1955;us;10;Washington
1987-88;Detroit Pistons;15;Vinnie Johnson;SG;6-2;200;September 1, 1956;us;8;Baylor
1987-88;Detroit Pistons;40;Bill Laimbeer;C;6-11;245;May 19, 1957;us;7;Notre Dame
1987-88;Detroit Pistons;35;Ralph Lewis;SG;6-6;200;March 28, 1963;us;R;La Salle
1987-88;Detroit Pistons;44;Rick Mahorn;PF;6-10;240;September 21, 1958;us;7;Hampton
1987-88;Detroit Pistons;54;Ron Moore;C;7-0;260;January 16, 1962;us;R;Salem University, West Virginia State University
1987-88;Detroit Pistons;42;Chuck Nevitt;C;7-5;217;June 13, 1959;us;4;NC State
1987-88;Detroit Pistons;10;Dennis Rodman;SF;6-7;210;May 13, 1961;us;1;Southeastern Oklahoma State University
1987-88;Detroit Pistons;23;Walker Russell;PG;6-5;195;October 26, 1960;us;5;Houston, Western Michigan
1987-88;Detroit Pistons;22;John Salley;C;6-11;230;May 16, 1964;us;1;Georgia Tech
1987-88;Detroit Pistons;11;Isiah Thomas;PG;6-1;180;April 30, 1961;us;6;Indiana
1988-89;Detroit Pistons;23;Mark Aguirre;SF;6-6;232;December 10, 1959;us;7;DePaul
1988-89;Detroit Pistons;45;Adrian Dantley;SF;6-5;208;February 28, 1955;us;12;Notre Dame
1988-89;Detroit Pistons;50;Darryl Dawkins;C;6-11;251;January 11, 1957;us;13;
1988-89;Detroit Pistons;34;Fennis Dembo;SF;6-5;215;January 24, 1966;us;R;Wyoming
1988-89;Detroit Pistons;4;Joe Dumars;SG;6-3;190;May 24, 1963;us;3;McNeese State University
1988-89;Detroit Pistons;53;James Edwards;C;7-0;225;November 22, 1955;us;11;Washington
1988-89;Detroit Pistons;35;Steve Harris;SG;6-5;195;October 15, 1963;us;3;Tulsa
1988-89;Detroit Pistons;15;Vinnie Johnson;SG;6-2;200;September 1, 1956;us;9;Baylor
1988-89;Detroit Pistons;40;Bill Laimbeer;C;6-11;245;May 19, 1957;us;8;Notre Dame
